url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Xin-Zesen-Printing-Co-L-td-/1X0AQ36L,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",2007.0,"Consumer Electronics, Gift Packaging, Marketing & Public Relations, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Plastic Packaging, Printed Matters, Professional Services","Chinese Mainland, Hong Kong, Japan, Korea, Middle East, North America, Scandinavia, Southeast Asia, Taiwan, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date FSC - - - ISO9001 - - - View details Factory & Facility",,Mr Lee Corbin,VP,"No.17 Factory Building, ChangLong East Road,PingHu Town, LongGang District, ShenZhen, GuangDong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Bag-Import-Export-Co-Ltd/1X07WJQP,Manufacturer,"Xiamen, Fujian, Chinese Mainland",,Paper Packaging,"Southeast Asia, Worldwide ODM OEM",,,,Mr Vicky -,General Manager,"Caitang Industry Zone, Huli district, Xiamen, Fujian, China China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xiamen-Packrich-Imp-And-Exp-Co-Ltd/1X07WM24,Exporter,"Xiamen, Fujian, Chinese Mainland",2009.0,"Bags, Handbags & Accessories, Clothing/ Garments, Consumer Electronics, Fashion, Eyewear & Accessories, Gift Packaging, Gifts / Souvenirs, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Packaging Materials, Paper Packaging, Sports Supplies, Stationery","Eastern Europe, Hong Kong, Japan, North America, Scandinavia, Western Europe, Worldwide",16 - 25,"US$ 1,000,000 - 4,999,999 ODM OEM",,Miss Anna Tsai,General Manager,"No.3, Unit 21C, No.258 Dongdu Road, Huli District, Xiamen, Fujian, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Midas-Printing-International-Limited/1X09Z8UI,,Hong Kong,,"Food & Beverage, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Packaging Materials",,,,,Tammy Tsui,Sales Manager,"Room 19, 21/F, Tuen Mun Central Square, 22 Hoi Wing Rd, Tuen Mun, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Tailian-Packing-Limited/1S00O9XLC,,Chinese Mainland,,,,,,,Vincent Lin,Account Manager,"2nd Industrial Area, Xiao Bian Management District, Chang An Town, Dongguan City, Guangdong Province, China 523850",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Shishangmei-printing-Co-Ltd/1X091H4H,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",,"Paper Packaging, Printed Matters",,,,,Ms Shower Lee,Sales,"No.423 Jienan RD, Xiaojiejiao District, Humen Town, Dongguan .GuangDong 523919, Dongguan",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Bosing-Paper-Printing-Packaging-Co-Ltd-/1X08ZWDZ,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",,,,,,,Stephen -,Foreign Trade Manager,"NO.28 Longxing East Road, Yongxin, Baiyun District, Guangzhou,",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wenzhou-Lovedoor-Group-Co-Limited/1S00OGDBQ,,Chinese Mainland,,,,,,,Bill Zhuang,Sales Manager,"325016, 750 Xiupu Road Louqiao Industrial Zone Ouhai, Wenzhou Zhejiang China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yiwu-Bravo-paper-products-Co-Ltd-/1S00P0VJK,,Chinese Mainland,,Paper Packaging,,,,,Miss Ven Zhang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zenith-Packaging-Industry-Limited/1X0A04N1,,Chinese Mainland,,Packaging & Displaying Materials,,,,,Ivy Chen,Sales Manager,"523000, No 5 Baoshou Road, Chongkou, Dongguan, Guangdong, China",Chinese Mainland
