url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Naturalis-World-Limited/1X0A8IXL?fairCode=hkfoodexpo&locale=en,"Import Agent, Importer, Retailer, Wholesaler",Hong Kong,2014.0,"Alcoholic Beverages, Beverages","Chinese Mainland, Hong Kong",6 - 10,"US$ 1,000,000 - 4,999,999","Capel Vinos,9.5.8 Santero",Mr Summy Josely Ng,,"Flat 01, 21/F Million Fortune Industrial Center 34-36 Chai Wan Kok Street Tsuen Wan",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Saraya--Hong-Kong-Sales--Co---Limited/1X08P9GT?fairCode=hkfoodexpo&locale=en,Manufacturer,Hong Kong,,"Food, Food & Beverage",,,,,Ms Hilda Chu,,"Room 1701, 17/F, Olympia Plaza, 243-255 King's Road",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ali-Baba-International-Ltd/1X05OYWA?fairCode=hkfoodexpo&locale=en,,Hong Kong,,"Food, Food & Beverage",,,,,Penny Wu (Food),Manager,"Unit 04, 15/F., Cheialier Comm. Centre, 8 Wang Hoi Road, Kowloon Bay, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Fine-Wine-Exchange-Centre-Limited/1S00P3RAF?fairCode=hkfoodexpo&locale=en,,Hong Kong,,Alcoholic Beverages,,,,,Ms Sum Cheng,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Network-Foods-Hong-Kong-Ltd/1X04V7VK?fairCode=hkfoodexpo&locale=en,"Exporter, Manufacturer",Hong Kong,,"Beverages, Food, Food & Beverage",,,,,Miss Katherine Hsin,,"Flat L, 21/F, Shield Industrial Centre, 84-92 Chai Wan Kok Street, Tsuen Wan, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Newton-Marine-Products-2021-Company-Limited/1S00P3OKO?fairCode=hkfoodexpo&locale=en,,Hong Kong,,Food,,,,,Mr Peter Wan,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/NOBLE-HEALTH-CO-LTD/1X09HWQM?fairCode=hkfoodexpo&locale=en,"Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,,"Health Care & Medical Supplies, Health, Beauty and Baby Care","Chinese Mainland, Hong Kong",,,,Miss Kristin Fung,Marketing Manager,"5樓 D室 中興工業大廈, 大有街25-27號 新蒲崗, 九龍, 香港",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sing-Wah-Development-Ltd/1X04NIQS?fairCode=hkfoodexpo&locale=en,"Distributor, Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,2003.0,,"Chinese Mainland, Eastern Europe, Hong Kong, Other Asian Countries, Taiwan",11 - 15,"US$ 500,000 - 999,999",Mrs. So's XO SAUCE / 蘇太名醬 ODM OEM Certificate Name Issued By Certificate Type Valid Date FSSC 22000 SGS FSSC22000 01 Nov 2022 - 13 Nov 2025 View details Factories & Facilities Quality Control Quality Tourism Services Scheme HONG KONG EMERGING BRAND AWARDS,Mr David Mang,Bussiness Development Manager,"Rm. 2-5, 1/F, BLK 2 Nam Fung Industrial City, 18 Tin Hau Road, Tuen Mun, New Territories, Hong Kong.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chengdu-Dehong-Agricultural-Development-Co-Ltd-/1S00PDP9K?fairCode=hkfoodexpo&locale=en,,Chinese Mainland,,"Beverages, Food",,,,,Qiang Gao,,"69-2 Group 2, Jianhua Community, Tianma Town, Dujiangyan City, Chengdu, Sichuan, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Farmjoa/1S00P4FMR?fairCode=hkfoodexpo&locale=en,,"Korea, Republic Of",,Food,,,,,Eun-kyung Hwang,,"33, Beonyeong-ro 1-gil, Iksan-si, Jeonbuk-do, Republic of Korea","Korea, Republic Of"
